"Var","00 - B","00 - M","01 - B","01 - M","11 - B","11 - M","All - B","All - M"
"st_ct"," 1","72","130","130","25","25","208","227"
"hhs","  67","1440","6178","2372","856","425","8655","4237"
"ppl"," 355","8507","34079","13936","4551","2308","47493","24751"
"wp_prblm_taste_rcd"," 0","35","394"," 38","169","  1","1257","  74"
"wp_prblm_smell_rcd"," 0","39","657"," 57","281","  1","1697","  97"
"wp_prblm_color_rcd","67","59","3450","  38","403"," 14","4879"," 111"
"wp_prblm_cloudy_rcd"," 0","51"," 3","84","231","  9","714","144"
"ho_diar_rcd","24","70","1683"," 129","248"," 37","2527"," 236"
"ho_typh_rcd"," 0","99","  2","202","98","26","388","327"
"ho_malr_rcd","  0","894"," 587","1553","526","287","2362","2734"
"ho_dysn_rcd"," 0","14","1","4","10"," 1","81","19"
"ho_resp_rcd","  0","435","675","635","238"," 82","1212","1152"
"ho_skin_rcd","  7","141","595","293","54","57","792","491"
"ho_eyin_rcd"," 0","87"," 10","168","17","24"," 70","279"
"ho_wrms_rcd","  0","164","675","274","201"," 52","1255"," 490"
"ho_othr_1_rcd"," 0","66","  1","114","20","10"," 44","190"
"ho_othr_2_rcd","NA","NA","NA","NA","NA","NA","NA","NA"
"ho_dk_rcd","  0","109"," 0","92"," 1","12"," 94","213"
"ft_lt_30M","  0","746"," 930","1214","295","285","1895","2245"
"ft_30_60M"," 54","660","2635","1121","399","139","3865","1920"
"ft_gt_120M","0","4","323","  3","1","0","344","  7"
"ft_gt_60M","13","29","2187","  33","160","  0","2443","  62"
"ft_gt_180M","0","1","101","  0","1","1","106","  2"
"ftch_tm_NA","0","0","2","1","0","0","2","1"
"sf_NoBush","32","10","1701","  20","167","  2","2062","  32"
"sf_ImpLatr"," 1","71","1066"," 151","85","22","1235"," 244"
"sf_Pit"," 34","199","3383"," 367","229"," 28","3890"," 594"
"sf_Latr","   0","1046","  28","1627","271","327","1074","3000"
"sf_.NoNghbr","  0","113","  0","206","99","46","371","365"
"san_fac_NA","0","1","0","1","5","0","23"," 2"
"wp_prblm_taste_rcd_na","  0","343","1674"," 399","233"," 34","1945"," 776"
"wp_prblm_smell_rcd_na","  0","343","1674"," 399","233"," 34","1945"," 776"
"wp_prblm_color_rcd_na","  0","343","1674"," 399","233"," 34","1945"," 776"
"wp_prblm_cloudy_rcd_na","  0","343","1674"," 399","233"," 34","1945"," 776"
"ho_diar_rcd_na","37","59","3228","  90","142"," 19","3436"," 168"
"ho_typh_rcd_na","37","59","3228","  90","142"," 19","3436"," 168"
"ho_malr_rcd_na","37","59","3228","  90","142"," 19","3436"," 168"
"ho_dysn_rcd_na","37","59","3228","  90","142"," 19","3436"," 168"
