"twt_id","srvy_tp","subm_dt","both","new","newboth","st_ct","hhs","ppl","wp_prblm_taste_rcd","wp_prblm_smell_rcd","wp_prblm_color_rcd","wp_prblm_cloudy_rcd","ho_diar_rcd","ho_typh_rcd","ho_malr_rcd","ho_dysn_rcd","ho_resp_rcd","ho_skin_rcd","ho_eyin_rcd","ho_wrms_rcd","ho_othr_1_rcd","ho_othr_2_rcd","ho_dk_rcd","ft_lt_30M","ft_30_60M","ft_gt_120M","ft_gt_60M","ft_gt_180M","ftch_tm_NA","sf_NoBush","sf_ImpLatr","sf_Pit","sf_Latr","sf_NoNghbr","san_fac_NA","wp_prblm_taste_rcd_na","wp_prblm_smell_rcd_na","wp_prblm_color_rcd_na","wp_prblm_cloudy_rcd_na","ho_diar_rcd_na","ho_typh_rcd_na","ho_malr_rcd_na","ho_dysn_rcd_na","ho_resp_rcd_na","ho_skin_rcd_na","ho_eyin_rcd_na","ho_wrms_rcd_na","ho_othr_1_rcd_na","ho_othr_2_rcd_na","ho_dk_rcd_na","fnct_wp","fnct_wp_na","fnct_wp_tt","strd_fees_sum","strd_fees_none","fnct_wq","fnct_wq_na","fnct_wq_tt","tst_rslt_elec_amt","tst_rslt_elec_amt_na","tst_rslt_elec_amt_tt","tst_rslt_temp_amt","tst_rslt_temp_amt_na","tst_rslt_temp_amt_tt","tst_rslt_trbd_amt","tst_rslt_trbd_amt_na","tst_rslt_trbd_amt_tt","tst_rslt_nitrite_amt","tst_rslt_nitrite_amt_na","tst_rslt_nitrite_amt_tt","tst_rslt_nitrate_amt","tst_rslt_nitrate_amt_na","tst_rslt_nitrate_amt_tt","tst_rslt_fl_amt","tst_rslt_fl_amt_na","tst_rslt_fl_amt_tt","tst_rslt_arsnc_amt","tst_rslt_arsnc_amt_na","tst_rslt_arsnc_amt_tt","tst_rslt_ecoli_amt","tst_rslt_ecoli_amt_na","tst_rslt_ecoli_amt_tt","tst_rslt_fcoli_amt","tst_rslt_fcoli_amt_na","tst_rslt_fcoli_amt_tt","ecoli_risk_l","ecoli_risk_i","ecoli_risk_h","ecoli_risk_v"
"126852","b",2015-04-20,"1","1","11",1,26,111,11,26,25,9,0,0,18,1,22,1,0,5,1,0,0,12,14,0,0,0,0,1,1,4,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126852","m",2016-04-13,"1","1","11",1,8,39,0,0,0,0,0,2,4,0,5,2,0,1,1,0,0,5,3,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.5,0,1,58000,0,2,0,2,80,1,1,26.5,1,1,60,0,2,NA,2,0,NA,2,0,NA,2,0,NA,2,0,38,0,2,NA,2,0,0,0,1,0
"126869","b",2015-04-23,"1","1","11",1,26,151,8,25,26,4,0,0,22,0,24,1,1,6,0,0,0,10,16,0,0,0,0,0,4,7,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126869","m",2016-06-08,"1","1","11",1,2,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,82000,0,2,0,2,60,1,1,26.9,1,1,0,0,2,NA,2,0,NA,2,0,NA,2,0,NA,2,0,0,0,2,NA,2,0,1,0,0,0
"159519","b",2015-02-17,"1","1","11",1,14,77,0,0,0,13,10,6,7,0,0,0,0,5,0,0,0,12,2,0,0,0,0,4,0,5,4,1,0,1,1,1,1,3,3,3,3,3,3,3,3,3,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159519","m",2016-03-16,"1","1","11",1,10,81,0,0,0,0,0,0,4,0,2,0,0,0,2,0,4,8,2,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,1,0,1,20000,0,1,0,1,140,0,1,26.6,0,1,0,0,1,NA,1,0,NA,1,0,NA,1,0,NA,1,0,0,0,1,NA,1,0,1,0,0,0
"160201","b",2015-04-10,"1","1","11",1,21,79,6,18,21,4,7,13,16,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160201","m",2016-06-24,"1","1","11",1,7,37,0,0,0,0,1,0,3,0,2,1,1,2,0,0,0,6,0,0,0,1,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,0,1,25000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245676","m",2015-10-12,"0","0","00",1,12,51,0,0,0,0,0,1,10,0,0,3,2,3,2,0,0,5,7,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246055","b",2014-12-09,"1","0","01",1,21,109,2,6,8,3,5,2,13,1,0,5,0,0,1,0,0,3,5,5,6,0,2,4,7,6,4,0,0,2,2,2,2,5,5,5,5,5,5,5,5,5,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
