"twt_id","srvy_tp","subm_dt","both","new","newboth","st_ct","hhs","ppl","wp_prblm_taste_rcd","wp_prblm_smell_rcd","wp_prblm_color_rcd","wp_prblm_cloudy_rcd","ho_diar_rcd","ho_typh_rcd","ho_malr_rcd","ho_dysn_rcd","ho_resp_rcd","ho_skin_rcd","ho_eyin_rcd","ho_wrms_rcd","ho_dk_rcd","ft_lt_30M","ft_30_60M","ft_gt_120M","ft_gt_60M","ft_gt_180M","ftch_tm_NA","sf_NoBush","sf_ImpLatr","sf_Pit","sf_Latr","sf_.NoNghbr","func_wp","func_wq","strd_fees","ecoli_risk_l","ecoli_risk_i","ecoli_risk_h","ecoli_risk_v"
126852,"b","2015-04-20",1,1,"11",1,26,111,0.423076923076923,1,0.961538461538462,0.346153846153846,0,0,0.692307692307692,0.0384615384615385,0.846153846153846,0.0384615384615385,0,0.192307692307692,0,0.461538461538462,0.538461538461538,0,0,0,0,0.0384615384615385,0.0384615384615385,0.153846153846154,0.461538461538462,0.307692307692308,0,0,0,0,0,0,0
126852,"m","2016-04-13",1,1,"11",1,8,39,0,0,0,0,0,0.25,0.5,0,0.625,0.25,0,0.125,0,0.625,0.375,0,0,0,0,0,0.125,0,0.75,0.125,0.5,1,58000,0,0,1,0
126869,"b","2015-04-23",1,1,"11",1,26,151,0.307692307692308,0.961538461538462,1,0.153846153846154,0,0,0.846153846153846,0,0.923076923076923,0.0384615384615385,0.0384615384615385,0.230769230769231,0,0.384615384615385,0.615384615384615,0,0,0,0,0,0.153846153846154,0.269230769230769,0.5,0.0769230769230769,0,0,0,0,0,0,0
126869,"m","2016-06-08",1,1,"11",1,2,9,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,82000,1,0,0,0
159519,"b","2015-02-17",1,1,"11",1,14,77,0,0,0,0.928571428571429,0.714285714285714,0.428571428571429,0.5,0,0,0,0,0.357142857142857,0,0.857142857142857,0.142857142857143,0,0,0,0,0.285714285714286,0,0.357142857142857,0.285714285714286,0.0714285714285714,0,0,0,0,0,0,0
159519,"m","2016-03-16",1,1,"11",1,10,81,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0.4,0.8,0.2,0,0,0,0,0,0.1,0.3,0.6,0,1,1,20000,1,0,0,0
160201,"b","2015-04-10",1,1,"11",1,21,79,0.285714285714286,0.857142857142857,1,0.19047619047619,0.333333333333333,0.619047619047619,0.761904761904762,0.142857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0.0476190476190476,0.19047619047619,0.380952380952381,0.380952380952381,0,0,0,0,0,0,0
160201,"m","2016-06-24",1,1,"11",1,7,37,0,0,0,0,0.142857142857143,0,0.428571428571429,0,0.285714285714286,0.142857142857143,0.142857142857143,0.285714285714286,0,0.857142857142857,0,0,0,0.142857142857143,0,0,0,0.142857142857143,0.571428571428571,0.285714285714286,1,0,25000,0,0,0,0
245676,"m","2015-10-12",0,0,"00",1,12,51,0,0,0,0,0,0.0833333333333333,0.833333333333333,0,0,0.25,0.166666666666667,0.25,0,0.416666666666667,0.583333333333333,0,0,0,0,0,0,0.416666666666667,0.416666666666667,0.166666666666667,0,0,0,0,0,0,0
246055,"b","2014-12-09",1,0,"01",1,21,109,0.0952380952380952,0.285714285714286,0.380952380952381,0.142857142857143,0.238095238095238,0.0952380952380952,0.619047619047619,0.0476190476190476,0,0.238095238095238,0,0,0,0.142857142857143,0.238095238095238,0.238095238095238,0.285714285714286,0,0.0952380952380952,0.19047619047619,0.333333333333333,0.285714285714286,0.19047619047619,0,0,0,0,0,0,0,0
